Accident_ID,Date,State,City,Latitude,Longitude,Severity,Weather,Visibility_km,Temperature_C,Traffic_Signal,Time_of_Day
1,2023-01-01 00:00:00,Maharashtra,Mumbai,20.141880721775614,74.8625126729084,3,Cloudy,7.6,19.3,No,Afternoon
2,2023-01-01 01:00:00,Delhi,Mumbai,18.9339482542814,77.18253956792422,2,Cloudy,2.7,32.3,No,Evening
3,2023-01-01 02:00:00,Kerala,Mumbai,12.638941922319509,72.9833654277231,2,Rain,1.9,31.1,No,Afternoon
4,2023-01-01 03:00:00,Delhi,Mumbai,15.818119918110293,79.10927264212319,3,Fog,2.3,37.3,No,Morning
5,2023-01-01 04:00:00,Delhi,New Delhi,19.88952670372346,76.02467160623868,1,Cloudy,2.2,33.3,Yes,Night
6,2023-01-01 05:00:00,Karnataka,New Delhi,17.93533717718339,75.59479793631714,3,Clear,5.4,27.7,Yes,Night
7,2023-01-01 06:00:00,Kerala,Bengaluru,27.755710404297744,76.68691830762815,2,Rain,8.5,39.8,No,Evening
8,2023-01-01 07:00:00,Kerala,Chennai,10.728795051134663,76.99827090231523,1,Mist,1.3,21.7,No,Evening
9,2023-01-01 08:00:00,Kerala,Mumbai,21.902891080951875,72.57420644981211,2,Mist,7.2,35.8,No,Morning
10,2023-01-01 09:00:00,Delhi,Bengaluru,16.086375362085843,77.46093776978722,3,Clear,6.7,25.7,Yes,Afternoon
11,2023-01-01 10:00:00,Maharashtra,Chennai,16.563992298512296,73.93545344252423,1,Cloudy,8.8,31.2,Yes,Evening
12,2023-01-01 11:00:00,Kerala,Kochi,22.351955313163526,77.71162106005272,1,Rain,2.8,33.2,Yes,Night
13,2023-01-01 12:00:00,Delhi,New Delhi,21.84872302648739,78.58027835507357,4,Clear,4.8,30.8,No,Evening
14,2023-01-01 13:00:00,Karnataka,Chennai,27.825119874043764,78.43166806042017,1,Cloudy,9.3,18.5,No,Evening
15,2023-01-01 14:00:00,Maharashtra,Kochi,10.567885789082505,76.42000773926311,2,Rain,6.8,26.1,Yes,Afternoon
16,2023-01-01 15:00:00,Karnataka,Chennai,10.082192987683326,76.161359138486,2,Mist,4.2,29.0,Yes,Evening
17,2023-01-01 16:00:00,Maharashtra,New Delhi,22.48677634257482,73.1430076907153,2,Rain,1.7,36.2,No,Morning
18,2023-01-01 17:00:00,Delhi,New Delhi,19.56773834012818,78.20276920322509,2,Fog,3.0,26.1,No,Night
